preco,bairro,area,quartos,suites,vagas,andar,banheiros,salao de festas,mobiliado,varanda,academia,espaco gourmet,playground,churrasqueira,piscina
R$ 849.000,Itacorubi,70,,1,1,7,,1,1,1,1,1,1,1,1
R$ 800.000,Trindade,90,3,1,1,,1,1,0,0,0,0,0,0,0
R$ 1.345.889,Canto,112,2,1,2,,2,0,0,1,0,0,0,0,1
R$ 699.000,Estreito,123,2,1,1,,2,0,0,0,0,0,0,0,0
R$ 530.000,Agronômica,33,1,0,1,,1,0,0,0,0,1,1,0,1
R$ 690.000,Itacorubi,74,1,0,1,4,1,1,0,1,1,1,1,0,0
R$ 850.000,Estreito,128,3,1,1,,2,1,0,1,0,0,0,0,0
R$ 1.690.000,Itacorubi,123,3,1,2,,3,0,0,0,0,0,0,0,0
R$ 684.113,Trindade,55,1,0,1,,1,1,0,0,1,0,0,1,0
R$ 860.000,Trindade,64,2,1,1,,2,1,0,0,1,0,1,0,0
R$ 1.700.000,Canto,130,3,3,2,,4,1,0,0,0,1,1,0,0
R$ 750.000,Itacorubi,73,2,1,1,2,2,1,0,1,1,1,1,1,1
R$ 850.000,Itacorubi,77,2,1,2,6,2,1,0,1,0,1,1,1,0
R$ 545.000,Estreito,48,1,0,1,2,1,1,0,1,1,0,0,1,1
R$ 950.000,Estreito,118,3,1,2,,2,0,1,1,0,0,0,0,0
R$ 649.000,Itacorubi,72,2,1,1,,1,1,0,0,0,0,1,1,0
R$ 779.827,Estreito,74,2,1,2,,2,0,0,0,0,0,0,0,0
R$ 2.300.000,Itacorubi,186,6,1,4,2,4,0,1,1,0,0,0,1,1
R$ 670.000,Itacorubi,82,3,1,1,,2,1,0,0,0,0,0,0,0
R$ 850.000,Itacorubi,70,2,1,1,,2,0,1,1,0,0,0,1,1
R$ 812.000,Canto,75,2,1,1,,2,1,0,0,1,1,0,0,0
R$ 1.264.136,Estreito,111,2,2,2,,3,1,0,1,0,0,1,1,1
R$ 430.000,Estreito,75,3,1,1,4,2,1,0,0,0,0,0,1,0
R$ 990.000,Estreito,94,3,1,2,,2,0,0,0,0,0,0,0,0
R$ 849.000,Itacorubi,69,2,1,1,,1,1,0,0,0,0,1,1,0
R$ 735.000,Estreito,86,3,1,1,,2,0,0,0,0,0,0,0,0
R$ 1.022.000,Trindade,93,3,1,2,,2,1,0,1,0,1,1,1,0
R$ 1.321.088,Canto,116,2,1,2,8,2,0,0,1,0,0,1,1,1
R$ 1.075.000,Canto,106,3,1,2,4,3,1,0,1,1,1,1,1,1
R$ 850.000,Itacorubi,64,2,1,2,,2,1,1,1,1,1,1,1,1
R$ 1.850.000,Agronômica,130,3,3,3,4,4,1,0,1,1,1,0,1,1
R$ 965.000,Itacorubi,75,3,1,2,,2,1,0,1,1,1,1,0,0
R$ 650.000,Itacorubi,72,2,1,1,4,2,1,0,1,1,1,0,0,0
R$ 1.188.000,Jardim Atlântico,74,2,2,2,,2,1,0,0,1,1,0,0,1
R$ 745.000,Agronômica,78,2,1,1,3,2,1,0,0,0,1,0,0,0
R$ 1.190.000,Canto,96,3,2,1,11,3,1,0,0,1,1,1,1,1
R$ 960.000,Balneário,77,2,2,2,7,3,0,0,1,0,0,0,1,1
R$ 1.057.000,Trindade,68,2,1,1,3,2,0,0,1,0,0,0,1,0
